the_geom,OBJECTID,PLACENAME,PLACETYPE,ADDRESS,CITY,ZIP,SOURCE,UNIQUEID,SYMBOLOGYQUERY,LATITUDE,LONGITUDE,LASTUPDATE,EDITOR,NOTES,EditingNotes,ID_NCES,CD_CODE,CDS_CODE,DISTRICT_NAME,DISTRICT_TYPE,DISTRICT_NAME_SHORT,GEOID10
POINT (-121.862168736661 37.33753772713),303,McKinley Elementary,Public School,651 Macredes Avenue,San Jose,95116,School Website 2014/CA_DEPT_EDU,43694506047245,,37.337532779999997,-121.86215566,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369450,43694506115943,Franklin-McKinley Elementary,Elementary School District,Franklin-McKinley Elem.,0614370
POINT (-121.842197183476 37.351206812648),10,ACE Charter High,Public School,660 Sinclair Drive,San Jose,95116-2621,School Website 2014/CA_DEPT_EDU,43694270125617,,37.351201860000003,-121.8421841,08/14/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  High School District,Both,,4369427,43694274337903,East Side Union High,High School District,East Side Union High,0611820
POINT (-121.924551410803 37.328708304251),275,Abraham Lincoln Senior High School,Public School,555 Dana Avenue,San Jose,95126,School Website 2014/CA_DEPT_EDU,43696664333795,,37.328703359999999,-121.92453832,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369666,43696666121073,San Jose Unified,Unified School District,San Jose Unified,0634590
POINT (-121.910126969276 37.26060742305),419,Sartorette Charter,Public School,3850 Woodford Drive,San Jose,95124,School Website 2014/CA_DEPT_EDU,43693856046494,,37.260602489999997,-121.91011389000001,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369385,43693856116743,Cambrian,Elementary School District,Cambrian,0607140
POINT (-122.019437842034 37.299704662981),246,John Muir Elementary,Public School,6560 Hanover Drive,San Jose,95129,School Website 2014/CA_DEPT_EDU,43694196046908,,37.29969973,-122.01942474000001,09/22/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369419,43694196067185,Cupertino Union,Elementary School District,Cupertino Union,0610290
POINT (-121.995317664465 37.357134735762),331,Santa Clara Unified District,Public School,1889 Lawrence Road,Santa Clara,95052,School Website 2014/CA_DEPT_EDU,43696740000000,,37.357129800000003,-121.99530455999999,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369674,43696746048805,Santa Clara Unified,Unified School District,Santa Clara Unified,0635430
POINT (-122.106611555368 37.371657802728),139,LASD Preschool,Public School,201 Covington Road,Los Altos,94024,School Website 2014/CA_DEPT_EDU,43695180118703,,37.371652869999998,-122.10659843000001,09/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369518,43695186047500,Los Altos Elementary,Elementary School District,Los Altos Elem.,0622650
POINT (-121.820429704972 37.241060859128),340,Oak Ridge Elementary,Public School,5920 Bufkin Drive,San Jose,95123,School Website 2014/CA_DEPT_EDU,43696256088306,,37.241055920000001,-121.82041664,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369625,43696256117014,Oak Grove Elementary,Elementary School District,Oak Grove Elem.,0627810
POINT (-121.84404360697 37.348272896951),9,ACE Charter,Public School,625 South Sunset Avenue,San Jose,95116,School Website 2014/CA_DEPT_EDU,43104390116814,,37.34826795,-121.84403053,08/14/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-122.020148352735 37.394164506453),126,Columbia Middle,Public School,739 Morse Avenue,Sunnyvale,94085,School Website 2014/CA_DEPT_EDU,43696906049241,,37.394159559999999,-122.02013524,09/05/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369690,43696906117196,Sunnyvale,Elementary School District,Sunnyvale,0638460
POINT (-121.561663140276 37.016217296472),472,Gilroy Unified School District,Public School,7810 Arroyo Circle,Gilroy,95020,School Website 2014/CA_DEPT_EDU,43694840000000,,37.016212359999997,-121.56165014,10/09/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369484,43694846116461,Gilroy Unified,Unified School District,Gilroy Unified,0615180
